Site,SiteType,AgeClass,Location,DistanceToShore,DistanceToShoreCorr,kg/m3 (range),kg/m3 average,MNI/m3 (range),MNI/m3 (average),Time Span,Depth,DepRate,DepRateCorr,SiteNameLong,Lat,Long
BBC (LSA) ,C,H,S,0.15,0.15,NA,24.9,NA,2924.6,2,0.6,0.3,0.3,Blombos Cave,-34.414444, 21.2225
BBC (MSA) ,C,P,S,2.3–6.4 ,4,17.5–68.4 ,39.2,2390.0–5040.0 ,3353.3,29,1,0.03,0.03,Blombos Cave,-34.414444, 21.2225
BPM ,O,H,W,0.19,0.19,201.9–474.8 ,292.3,8753.3–24093.3 ,14756.1,0.1,0.2,2,2,Borrow Pit Midden ,-32.315483,18.316126
BTS ,O,P,W,0.25,0.25,70.8–220.2 ,149.2,4933.3–36514.7 ,18582.7,NA,NA,NA,NA,Bettys Bay Midden ,-34.353308,18.904114
CDM ,O,H,W,0.22,0.22,123.9–183.3 ,149.3,13845.0–22945.0 ,19613.8,0.1,0.1,1,1,Cape Deseada Midden ,-32.318858,18.4132898
DSP16 ,O,H,W,0.17,0.17,15.1–130.2 ,67.4,3360.5–23769.5 ,11033.6,2.6,1.1,0.42,0.42,Deurspring 16 ,-32.021332,18.292843
GFD ,O,H,W,0.4,0.4,60.9–135.2 ,101.5,5525.0–20995.0 ,12764.4,0.15,0.5,3.3,3.3,Grootrif D,-32.167931,18.310229
GFG ,O,H,W,0.6,0.6,36.8–777.1 ,341.9,5655.0–21580.0 ,34189.1,1.7,0.5,0.3,0.3,Grootrif G ,-32.167931,18.310229
HDP1 ,O,P,W,0.2,0.2,11.4–13.1 ,12.2,495.5–707.5 ,629.3,10–20 (?) ,1.2,0.06–0.12 ,0.9,Hoedjiespunt ,-33.042179,17.908263
KDS ,C,P,S,>5.0 ,5,3–183 ,68.6,294–8526 ,2292,5.5,0.6,0.11,0.11,Klipdrift Shelter ,-34.459979,20.774191
KR ,C,P,S,0.3–7.3 ,5,1.0–46.4 ,21.7,630.0–5610.0 ,2322.5,65,20,0.3,0.3,Klasies River,-34.085328,24.335402
MTM ,O,H,W,0.21,0.21,127.0–517.6 ,324.2,5297.5–29575.0 ,15683.6,1.3,1.5,1.15,1.15,Mike Taylor’s Midden ,-32.336876,18.316293
NTZ ,O,H,W,0.1,0.1,100–456.2 ,270.6,NA,NA,1.7,1,0.7,0.7,Noetzie ,-34.080319,23.124985
PKM ,O,H,W,1.7,1.7,324.8–462.9 ,412.5,13422.5–27941.3 ,18519.1,1.2,0.9,1.3,1.3,Pancho’s Kitchen Midden ,-32.329833,18.333368
PP13B ,C,P,S,0.2–10.0 ,5,0.01–8.7,2.6,4.7–744.7 ,307.3,83,1.5,0.02,0.02,Pinnacle Point 13B,-34.206449,22.090621
PPW ,O,H,S,0.1,0.1,59.3–104.0 ,85.2,5310.0–11551.7 ,8265.3,0.06,0.06,1,1,Pinnacle Point West Middens ,-34.206449,22.090621
RWM ,O,H,W,0.48,0.48,179.5–354.06 ,266.8,10205.0–14235.0 ,12220,0.1,0.2,1.5,1.5,Railway Midden ,-32.318858,18.4132898
SBF (3–2 ka) ,C,H,W,2.6,2.6,32.2–429.5 ,161.3,2292.1–39325.0 ,12639.5,0.8,1.6,2,2,Steenbokfontein ,-32.161776,18.333033
SBF (8.3–3.5 ka) ,C,H,W,2.6,2.6,60.1–269.1 ,192.7,5616.0–20952.1 ,19727.4,4.8,1.8,0.37,0.37,Steenbokfontein ,-32.161776,18.333033
SPKH028 ,C,H,W,3.6,3.6,14.7–28.9 ,21.2,2179.7–2769.2 ,2486,0.5,0.5,1,1,Soutpansklipheuwel,-32.011473,18.331575
SPKH051 ,C,H,W,3.6,3.6,21.5–217.0 ,124.9,7919.1–10802.1 ,9416.6,0.1,0.7,4,4,Soutpansklipheuwel,-32.011473,18.331575
SPKH086 ,C,H,W,3.6,3.6,35.7–59.3 ,44.1,4407.8–5605.4 ,5151.5,0.7,0.4,0.5,0.5,Soutpansklipheuwel,-32.011473,18.331575
SS ,C,H,W,7.4,7.4,66.7–93.9 ,80.7,3052.2–7287.9 ,5555.5,3,0.8,0.27,0.27,Scorpion Shelter,-32.379976,18.369702
TC (0–2 ka) ,C,H,W,4,4,60.3–263.5 ,152.8,3770.0–15560.6 ,8905.8,1.04,0.45,0.43,0.43,Tortoise Cave,-32.318106,18.355978
TC (3–4.3 ka) ,C,H,W,4,4,127.6–217.9 ,162.4,9425.0–28470.0 ,15042.6,0.7,0.8,0.9,0.9,Tortoise Cave,-32.318106,18.355978
YFT1 ,C,P,W,0.1,0.1,15.7–34.3 ,23.3,1186.2–2153.3 ,1570.6,10 (?) ,3,0.3,0.3,Ysterfontein 1 ,-33.358936,18.159997